,Accessibility,Application,ArcadeGame,Art,Audio,AudioVideo,AudioVideoEditing,Backup,BoardGame,Boot,Building,Calculator,Calendar,CardGame,Chat,CMS,Communication,ComputerScience,ConsoleOnly,Core,Database,DataVisualization,Debugger,DesktopSettings,Development,Dictionary,DiscBurning,Documentation,Education,Email,Engineering,Feed,FileManager,Filesystem,FileSystem,FileTransfer,FlowChart,Game,Geometry,GNOME,Graphics,GTK,HardwareSettings,IDE,ImageProcessing,Images,InstantMessaging,IRCClient,Java,KDE,Languages,Literature,LogicGame,Math,Midi,Monitor,Motif,Music,Network,NumericalAnalysis,Office,P2P,PackageManager,ParallelComputing,Photography,Player,Programming,ProjectManagement,Publishing,Qt,RasterGraphics,Recorder,RemoteAccess,Restoration,RevisionControl,Science,Security,Settings,Shell,Spreadsheet,System,Terminal,TerminalEmulator,TextEditor,TextTools,Translation,TrayIcon,Utility,VectorGraphics,Video,VideoConference,VideoEdit,Viewer,Visualization,Web,WebBrowser,WebDevelopment,WordProcessor,X-Mandriva-Office-Publishing,X-Misc,X-SuSE-Core-Office,2DGraphics,3D,3DGraphics
caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,
calculator,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbonLang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changebg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,
cheat,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,
checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,
cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
chess,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
